Statistic Label,Month,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2012 February,Dublin - apartments,Base Jan 2005 = 100,48.4
Residential Property Price Index,2012 March,National - all residential properties,Base Jan 2005 = 100,61.2
Residential Property Price Index,2012 March,National - houses,Base Jan 2005 = 100,63.7
Residential Property Price Index,2012 March,National - apartments,Base Jan 2005 = 100,46.4
Residential Property Price Index,2012 March,Dublin - all residential properties,Base Jan 2005 = 100,54.9
Residential Property Price Index,2012 March,Dublin - houses,Base Jan 2005 = 100,58
Residential Property Price Index,2012 March,Dublin - apartments,Base Jan 2005 = 100,46.7
Residential Property Price Index,2012 April,National - all residential properties,Base Jan 2005 = 100,60.2
Residential Property Price Index,2012 April,National - houses,Base Jan 2005 = 100,62.7
Residential Property Price Index,2012 April,National - apartments,Base Jan 2005 = 100,45.7
Residential Property Price Index,2012 April,Dublin - all residential properties,Base Jan 2005 = 100,54.7
Residential Property Price Index,2012 April,Dublin - houses,Base Jan 2005 = 100,57.7
Residential Property Price Index,2012 April,Dublin - apartments,Base Jan 2005 = 100,46.3
Residential Property Price Index,2012 May,National - all residential properties,Base Jan 2005 = 100,60
Residential Property Price Index,2012 May,National - houses,Base Jan 2005 = 100,62.6
Residential Property Price Index,2012 May,National - apartments,Base Jan 2005 = 100,45
Residential Property Price Index,2012 May,Dublin - all residential properties,Base Jan 2005 = 100,54.7
Residential Property Price Index,2012 May,Dublin - houses,Base Jan 2005 = 100,57.8
Residential Property Price Index,2012 May,Dublin - apartments,Base Jan 2005 = 100,45.8
Residential Property Price Index,2012 June,National - all residential properties,Base Jan 2005 = 100,59.9
Residential Property Price Index,2012 June,National - houses,Base Jan 2005 = 100,62.5
Residential Property Price Index,2012 June,National - apartments,Base Jan 2005 = 100,44.5
Residential Property Price Index,2012 June,Dublin - all residential properties,Base Jan 2005 = 100,55
Residential Property Price Index,2012 June,Dublin - houses,Base Jan 2005 = 100,58.2
Residential Property Price Index,2012 June,Dublin - apartments,Base Jan 2005 = 100,45.4
Residential Property Price Index,2012 July,National - all residential properties,Base Jan 2005 = 100,60.5
Residential Property Price Index,2012 July,National - houses,Base Jan 2005 = 100,63.1
Residential Property Price Index,2012 July,National - apartments,Base Jan 2005 = 100,44.7
Residential Property Price Index,2012 July,Dublin - all residential properties,Base Jan 2005 = 100,56.1
Residential Property Price Index,2012 July,Dublin - houses,Base Jan 2005 = 100,59.5
Residential Property Price Index,2012 July,Dublin - apartments,Base Jan 2005 = 100,45.9
Residential Property Price Index,2012 August,National - all residential properties,Base Jan 2005 = 100,60.6
Residential Property Price Index,2012 August,National - houses,Base Jan 2005 = 100,63.3
Residential Property Price Index,2012 August,National - apartments,Base Jan 2005 = 100,44.5
